pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
70.28,-84.58,0.0,top,C1,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
95.67,-67.68,0.0,top,C10,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
56.08,-131.01,0.0,top,C11,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
81.49,-67.75,0.0,top,C12,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
109.6,-57.2,0.0,top,C13,,,CP_Radial_D5.0mm_P2.00mm,10µF,tht
108.15,-61.8,0.0,top,C14,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
177.9175,-78.425,-90.0,top,C15,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
150.1675,-111.475,90.0,top,C16,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
223.04,-73.21,90.0,top,C17,,,CP_Radial_D5.0mm_P2.00mm,100µF,tht
116.15,-95.434888,-90.0,top,C18,,,CP_Radial_D5.0mm_P2.00mm,47µF,tht
172.3175,-67.825,90.0,top,C19,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
70.6,-131.01,0.0,top,C2,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
197.9175,-67.025,90.0,top,C20,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
198.1175,-72.025,90.0,top,C21,,,CP_Radial_D5.0mm_P2.00mm,100µF,tht
172.3175,-73.325,90.0,top,C22,,,CP_Radial_D5.0mm_P2.00mm,100µF,tht
223.1,-67.35,90.0,top,C23,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
141.9175,-121.180112,90.0,top,C24,,,CP_Radial_D5.0mm_P2.00mm,47µF,tht
184.45,-113.05,180.0,top,C25,,,CP_Radial_D5.0mm_P2.00mm,47µF,tht
184.65,-143.575,180.0,top,C26,,,CP_Radial_D5.0mm_P2.00mm,47µF,tht
80.24,-146.39,90.0,top,C27,,,CP_Radial_D5.0mm_P2.00mm,1000µF,tht
56.15,-107.57,0.0,top,C3,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
98.71,-120.6,0.0,top,C4,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
98.26,-97.16,0.0,top,C5,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
70.65,-107.57,0.0,top,C6,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
84.26,-97.16,0.0,top,C7,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
84.71,-120.6,0.0,top,C8,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
56.29,-84.56,0.0,top,C9,,,C_Disc_D5.0mm_W2.5mm_P5.00mm,0.1µF,tht
118.0,-120.0,180.0,top,J1,,None,SULLINS_SWR201-NRTN-S04-SA-WH,SWR201-NRTN-S04-SA-WH,tht
146.885,-131.13,90.0,top,J10,,None,JST_B2B-XH-A,B2B-XH-A,tht
110.65,-101.65,90.0,top,J11,,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02_Pin,tht
223.72,-83.5,0.0,top,J12,,None,691137710002,691137710002,tht
223.52,-95.36,0.0,top,J13,,None,691137710002,691137710002,tht
204.06,-99.83325,-90.0,top,J14,,None,JST_S2B-XH-A,S2B-XH-A,tht
195.3,-126.385,180.0,top,J15,,None,JST_B2B-XH-A,B2B-XH-A,tht
195.49,-143.615,180.0,top,J16,,None,JST_B2B-XH-A,B2B-XH-A,tht
195.05,-91.025,180.0,top,J17,,None,JST_B2B-XH-A,B2B-XH-A,tht
195.09,-108.735,180.0,top,J18,,None,JST_B2B-XH-A,B2B-XH-A,tht
204.09,-126.48325,-90.0,top,J19,,None,JST_S2B-XH-A,S2B-XH-A,tht
204.07,-117.86325,-90.0,top,J2,,None,JST_S2B-XH-A,S2B-XH-A,tht
204.12,-143.62,-90.0,top,J20,,None,JST_S2B-XH-A,S2B-XH-A,tht
204.06,-91.05325,-90.0,top,J21,,None,JST_S2B-XH-A,S2B-XH-A,tht
204.0675,-108.65825,-90.0,top,J22,,None,JST_S2B-XH-A,S2B-XH-A,tht
223.38,-118.14,0.0,top,J23,,None,691137710002,691137710002,tht
223.43,-106.6,0.0,top,J24,,None,691137710002,691137710002,tht
91.0,-146.78,180.0,top,J25,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08_Pin,tht
223.33,-129.62,0.0,top,J26,,None,691137710002,691137710002,tht
223.38,-141.11,0.0,top,J27,,None,691137710002,691137710002,tht
171.2175,-140.05,180.0,top,J28,,None,JST_S2B-XH-A,S2B-XH-A,tht
169.0925,-131.15,90.0,top,J29,,None,JST_B2B-XH-A,B2B-XH-A,tht
195.16,-118.005,180.0,top,J3,,None,JST_B2B-XH-A,B2B-XH-A,tht
162.61675,-140.07,180.0,top,J30,,None,JST_S2B-XH-A,S2B-XH-A,tht
85.34,-146.38,180.0,top,J31,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
85.14,-127.925,180.0,top,J32,,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02_Pin,tht
85.25,-135.985,180.0,top,J33,,,PinHeader_1x02_P2.54mm_Vertical,Conn_01x02_Pin,tht
127.6,-133.25,180.0,top,J34,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
132.05,-133.25,180.0,top,J35,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
127.65,-137.65,180.0,top,J36,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
132.1,-137.7,180.0,top,J37,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
127.6,-141.95,180.0,top,J38,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
132.15,-142.05,180.0,top,J39,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
195.45,-135.045,180.0,top,J4,,None,JST_B2B-XH-A,B2B-XH-A,tht
127.6,-146.3,0.0,top,J40,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
132.1,-146.3,0.0,top,J41,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
117.56,-66.44,180.0,top,J42,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
117.51,-62.34,0.0,top,J43,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
161.6925,-131.15,90.0,top,J44,,None,JST_B2B-XH-A,B2B-XH-A,tht
117.55,-57.15,0.0,top,J45,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
149.9675,-82.725,0.0,top,J46,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
110.9,-77.4,180.0,top,J47,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
115.35,-77.4,180.0,top,J48,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
110.9,-82.2,180.0,top,J49,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
204.09,-135.01325,-90.0,top,J5,,None,JST_S2B-XH-A,S2B-XH-A,tht
115.35,-82.2,180.0,top,J50,,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Pin,tht
153.91675,-140.1,180.0,top,J51,,None,JST_S2B-XH-A,S2B-XH-A,tht
154.2925,-131.15,90.0,top,J52,,None,JST_B2B-XH-A,B2B-XH-A,tht
145.27675,-140.1,180.0,top,J53,,None,JST_S2B-XH-A,S2B-XH-A,tht
161.44,-82.81,-90.0,top,J54,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
161.44,-87.4,-90.0,top,J58,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
161.44,-91.99,-90.0,top,J59,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
195.05,-82.075,180.0,top,J6,,None,JST_B2B-XH-A,B2B-XH-A,tht
161.44,-96.58,-90.0,top,J60,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
161.44,-101.17,-90.0,top,J61,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
161.43,-78.58,-90.0,top,J62,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
132.22,-105.57,-90.0,top,J63,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
132.24,-109.9,-90.0,top,J64,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
132.24,-114.49,-90.0,top,J65,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
132.24,-119.08,-90.0,top,J66,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
132.24,-123.67,-90.0,top,J67,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
132.29,-128.17,-90.0,top,J68,,,PinHeader_1x03_P2.54mm_Vertical,Conn_01x03_Pin,tht
204.06,-82.24325,-90.0,top,J7,,None,JST_S2B-XH-A,S2B-XH-A,tht
108.96,-146.79,180.0,top,J8,,,PinHeader_1x08_P2.54mm_Vertical,Conn_01x08_Pin,tht
195.06,-99.725,180.0,top,J9,,None,JST_B2B-XH-A,B2B-XH-A,tht
116.0,-106.19,-90.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4k7,tht
